Epoch [1/800], Train Loss: 0.432025, Val Loss: 0.374289
Epoch [2/800], Train Loss: 0.428431, Val Loss: 0.391700
Epoch [3/800], Train Loss: 0.419652, Val Loss: 0.375642
Epoch [4/800], Train Loss: 0.406876, Val Loss: 0.349931
Epoch [5/800], Train Loss: 0.388799, Val Loss: 0.330973
Epoch [6/800], Train Loss: 0.366711, Val Loss: 0.317221
Epoch [7/800], Train Loss: 0.337830, Val Loss: 0.295968
Epoch [8/800], Train Loss: 0.306841, Val Loss: 0.268406
Epoch [9/800], Train Loss: 0.275002, Val Loss: 0.238515
Epoch [10/800], Train Loss: 0.246481, Val Loss: 0.212115
Epoch [11/800], Train Loss: 0.220172, Val Loss: 0.186691
Epoch [12/800], Train Loss: 0.195417, Val Loss: 0.163221
Epoch [13/800], Train Loss: 0.172666, Val Loss: 0.139847
Epoch [14/800], Train Loss: 0.152128, Val Loss: 0.118637
Epoch [15/800], Train Loss: 0.133311, Val Loss: 0.100476
Epoch [16/800], Train Loss: 0.115372, Val Loss: 0.085975
Epoch [17/800], Train Loss: 0.100630, Val Loss: 0.070482
Epoch [18/800], Train Loss: 0.086797, Val Loss: 0.058738
Epoch [19/800], Train Loss: 0.074340, Val Loss: 0.049684
Epoch [20/800], Train Loss: 0.063783, Val Loss: 0.042367
Epoch [21/800], Train Loss: 0.053304, Val Loss: 0.034449
Epoch [22/800], Train Loss: 0.045601, Val Loss: 0.028633
Epoch [23/800], Train Loss: 0.038829, Val Loss: 0.022286
Epoch [24/800], Train Loss: 0.033321, Val Loss: 0.019851
Epoch [25/800], Train Loss: 0.028338, Val Loss: 0.015993
Epoch [26/800], Train Loss: 0.024213, Val Loss: 0.014163
Epoch [27/800], Train Loss: 0.021042, Val Loss: 0.012225
Epoch [28/800], Train Loss: 0.018543, Val Loss: 0.010598
Epoch [29/800], Train Loss: 0.016426, Val Loss: 0.009479
Epoch [30/800], Train Loss: 0.014604, Val Loss: 0.008525
Epoch [31/800], Train Loss: 0.013108, Val Loss: 0.007609
Epoch [32/800], Train Loss: 0.011816, Val Loss: 0.007034
Epoch [33/800], Train Loss: 0.010798, Val Loss: 0.006782
Epoch [34/800], Train Loss: 0.009931, Val Loss: 0.006075
Epoch [35/800], Train Loss: 0.009015, Val Loss: 0.005778
Epoch [36/800], Train Loss: 0.008028, Val Loss: 0.005528
Epoch [37/800], Train Loss: 0.007184, Val Loss: 0.005184
Epoch [38/800], Train Loss: 0.007759, Val Loss: 0.005446
Epoch [39/800], Train Loss: 0.006916, Val Loss: 0.004934
Epoch [40/800], Train Loss: 0.006173, Val Loss: 0.004508
Epoch [41/800], Train Loss: 0.005847, Val Loss: 0.004355
Epoch [42/800], Train Loss: 0.005501, Val Loss: 0.004258
Epoch [43/800], Train Loss: 0.005306, Val Loss: 0.004176
Epoch [44/800], Train Loss: 0.004886, Val Loss: 0.003942
Epoch [45/800], Train Loss: 0.005062, Val Loss: 0.003893
Epoch [46/800], Train Loss: 0.004723, Val Loss: 0.003883
Epoch [47/800], Train Loss: 0.004579, Val Loss: 0.003660
Epoch [48/800], Train Loss: 0.004508, Val Loss: 0.003615
Epoch [49/800], Train Loss: 0.004157, Val Loss: 0.003532
Epoch [50/800], Train Loss: 0.004058, Val Loss: 0.003566
Epoch [51/800], Train Loss: 0.004011, Val Loss: 0.003409
Epoch [52/800], Train Loss: 0.004139, Val Loss: 0.003463
Epoch [53/800], Train Loss: 0.004113, Val Loss: 0.003240
Epoch [54/800], Train Loss: 0.003957, Val Loss: 0.003362
Epoch [55/800], Train Loss: 0.003869, Val Loss: 0.003168
Epoch [56/800], Train Loss: 0.003895, Val Loss: 0.003130
Epoch [57/800], Train Loss: 0.003666, Val Loss: 0.003103
Epoch [58/800], Train Loss: 0.003723, Val Loss: 0.003232
Epoch [59/800], Train Loss: 0.003675, Val Loss: 0.003148
Epoch [60/800], Train Loss: 0.003494, Val Loss: 0.002978
Epoch [61/800], Train Loss: 0.003399, Val Loss: 0.002998
Epoch [62/800], Train Loss: 0.003265, Val Loss: 0.002920
Epoch [63/800], Train Loss: 0.003272, Val Loss: 0.002843
Epoch [64/800], Train Loss: 0.003279, Val Loss: 0.002881
Epoch [65/800], Train Loss: 0.003214, Val Loss: 0.002804
Epoch [66/800], Train Loss: 0.003152, Val Loss: 0.002837
Epoch [67/800], Train Loss: 0.003046, Val Loss: 0.002638
Epoch [68/800], Train Loss: 0.003144, Val Loss: 0.002596
Epoch [69/800], Train Loss: 0.003284, Val Loss: 0.002754
Epoch [70/800], Train Loss: 0.003089, Val Loss: 0.002730
Epoch [71/800], Train Loss: 0.002929, Val Loss: 0.002572
Epoch [72/800], Train Loss: 0.002859, Val Loss: 0.002624
