Epoch [1/800], Train Loss: 0.159831, Val Loss: 0.125786
Epoch [2/800], Train Loss: 0.158980, Val Loss: 0.132301
Epoch [3/800], Train Loss: 0.157418, Val Loss: 0.141537
Epoch [4/800], Train Loss: 0.152225, Val Loss: 0.139677
Epoch [5/800], Train Loss: 0.144582, Val Loss: 0.131373
Epoch [6/800], Train Loss: 0.137416, Val Loss: 0.128906
Epoch [7/800], Train Loss: 0.129846, Val Loss: 0.127079
Epoch [8/800], Train Loss: 0.121498, Val Loss: 0.121575
Epoch [9/800], Train Loss: 0.115351, Val Loss: 0.111774
Epoch [10/800], Train Loss: 0.109665, Val Loss: 0.104932
Epoch [11/800], Train Loss: 0.105170, Val Loss: 0.098541
Epoch [12/800], Train Loss: 0.100717, Val Loss: 0.093444
Epoch [13/800], Train Loss: 0.095961, Val Loss: 0.089144
Epoch [14/800], Train Loss: 0.090707, Val Loss: 0.082575
Epoch [15/800], Train Loss: 0.085782, Val Loss: 0.075886
Epoch [16/800], Train Loss: 0.084028, Val Loss: 0.073316
Epoch [17/800], Train Loss: 0.079368, Val Loss: 0.069820
Epoch [18/800], Train Loss: 0.076689, Val Loss: 0.066839
Epoch [19/800], Train Loss: 0.072694, Val Loss: 0.063446
Epoch [20/800], Train Loss: 0.070089, Val Loss: 0.060844
Epoch [21/800], Train Loss: 0.066917, Val Loss: 0.058731
Epoch [22/800], Train Loss: 0.064486, Val Loss: 0.057253
Epoch [23/800], Train Loss: 0.061054, Val Loss: 0.055166
Epoch [24/800], Train Loss: 0.058522, Val Loss: 0.051528
Epoch [25/800], Train Loss: 0.055781, Val Loss: 0.049082
Epoch [26/800], Train Loss: 0.054075, Val Loss: 0.047342
Epoch [27/800], Train Loss: 0.051555, Val Loss: 0.045466
Epoch [28/800], Train Loss: 0.049866, Val Loss: 0.043504
Epoch [29/800], Train Loss: 0.046518, Val Loss: 0.041299
Epoch [30/800], Train Loss: 0.044845, Val Loss: 0.039783
Epoch [31/800], Train Loss: 0.041965, Val Loss: 0.037907
Epoch [32/800], Train Loss: 0.041219, Val Loss: 0.037398
Epoch [33/800], Train Loss: 0.037584, Val Loss: 0.036881
Epoch [34/800], Train Loss: 0.035080, Val Loss: 0.030777
Epoch [35/800], Train Loss: 0.033266, Val Loss: 0.030329
Epoch [36/800], Train Loss: 0.030292, Val Loss: 0.028037
Epoch [37/800], Train Loss: 0.028800, Val Loss: 0.026656
Epoch [38/800], Train Loss: 0.026419, Val Loss: 0.023531
Epoch [39/800], Train Loss: 0.025193, Val Loss: 0.024375
Epoch [40/800], Train Loss: 0.023058, Val Loss: 0.021187
Epoch [41/800], Train Loss: 0.021581, Val Loss: 0.021756
Epoch [42/800], Train Loss: 0.019997, Val Loss: 0.016166
Epoch [43/800], Train Loss: 0.018654, Val Loss: 0.017725
Epoch [44/800], Train Loss: 0.017386, Val Loss: 0.016511
Epoch [45/800], Train Loss: 0.016663, Val Loss: 0.016588
Epoch [46/800], Train Loss: 0.015648, Val Loss: 0.016807
Epoch [47/800], Train Loss: 0.014653, Val Loss: 0.015484
Epoch [48/800], Train Loss: 0.014558, Val Loss: 0.016037
Epoch [49/800], Train Loss: 0.013349, Val Loss: 0.011860
Epoch [50/800], Train Loss: 0.012472, Val Loss: 0.011007
Epoch [51/800], Train Loss: 0.012033, Val Loss: 0.012809
Epoch [52/800], Train Loss: 0.011467, Val Loss: 0.010359
Epoch [53/800], Train Loss: 0.010790, Val Loss: 0.010076
Epoch [54/800], Train Loss: 0.010559, Val Loss: 0.010349
Epoch [55/800], Train Loss: 0.010039, Val Loss: 0.010294
Epoch [56/800], Train Loss: 0.009642, Val Loss: 0.011282
Epoch [57/800], Train Loss: 0.009235, Val Loss: 0.008647
Epoch [58/800], Train Loss: 0.009057, Val Loss: 0.008064
Epoch [59/800], Train Loss: 0.008276, Val Loss: 0.007334
Epoch [60/800], Train Loss: 0.008135, Val Loss: 0.006865
Epoch [61/800], Train Loss: 0.007966, Val Loss: 0.007526
Epoch [62/800], Train Loss: 0.007877, Val Loss: 0.007369
Epoch [63/800], Train Loss: 0.007369, Val Loss: 0.007704
Epoch [64/800], Train Loss: 0.007568, Val Loss: 0.006665
Epoch [65/800], Train Loss: 0.006959, Val Loss: 0.006191
Epoch [66/800], Train Loss: 0.006673, Val Loss: 0.006527
Epoch [67/800], Train Loss: 0.006562, Val Loss: 0.006040
Epoch [68/800], Train Loss: 0.006432, Val Loss: 0.005486
Epoch [69/800], Train Loss: 0.006427, Val Loss: 0.007611
Epoch [70/800], Train Loss: 0.006436, Val Loss: 0.007843
Epoch [71/800], Train Loss: 0.006565, Val Loss: 0.005429
Epoch [72/800], Train Loss: 0.005821, Val Loss: 0.006391
Epoch [73/800], Train Loss: 0.005681, Val Loss: 0.006445
Epoch [74/800], Train Loss: 0.005789, Val Loss: 0.005931
Epoch [75/800], Train Loss: 0.005543, Val Loss: 0.005295
Epoch [76/800], Train Loss: 0.005279, Val Loss: 0.005086
Epoch [77/800], Train Loss: 0.005203, Val Loss: 0.004863
Epoch [78/800], Train Loss: 0.005100, Val Loss: 0.004990
Epoch [79/800], Train Loss: 0.005052, Val Loss: 0.004469
Epoch [80/800], Train Loss: 0.004851, Val Loss: 0.004479
Epoch [81/800], Train Loss: 0.004801, Val Loss: 0.004912
Epoch [82/800], Train Loss: 0.004558, Val Loss: 0.004978
Epoch [83/800], Train Loss: 0.004714, Val Loss: 0.004901
Epoch [84/800], Train Loss: 0.004575, Val Loss: 0.004500
Epoch [85/800], Train Loss: 0.004420, Val Loss: 0.004486
Epoch [86/800], Train Loss: 0.004206, Val Loss: 0.004106
Epoch [87/800], Train Loss: 0.004616, Val Loss: 0.004103
Epoch [88/800], Train Loss: 0.004341, Val Loss: 0.009876
Epoch [89/800], Train Loss: 0.004205, Val Loss: 0.004852
Epoch [90/800], Train Loss: 0.004104, Val Loss: 0.004085
Epoch [91/800], Train Loss: 0.004316, Val Loss: 0.003967
Epoch [92/800], Train Loss: 0.004068, Val Loss: 0.003674
Epoch [93/800], Train Loss: 0.004099, Val Loss: 0.003720
Epoch [94/800], Train Loss: 0.004021, Val Loss: 0.004398
Epoch [95/800], Train Loss: 0.004030, Val Loss: 0.004062
Epoch [96/800], Train Loss: 0.003899, Val Loss: 0.003886
Epoch [97/800], Train Loss: 0.003688, Val Loss: 0.003579
Epoch [98/800], Train Loss: 0.003816, Val Loss: 0.003562
Epoch [99/800], Train Loss: 0.003819, Val Loss: 0.004611
Epoch [100/800], Train Loss: 0.003946, Val Loss: 0.004021
Epoch [101/800], Train Loss: 0.003742, Val Loss: 0.004161
Epoch [102/800], Train Loss: 0.003580, Val Loss: 0.003250
Epoch [103/800], Train Loss: 0.003509, Val Loss: 0.003343
Epoch [104/800], Train Loss: 0.003623, Val Loss: 0.008832
Epoch [105/800], Train Loss: 0.003588, Val Loss: 0.003923
Epoch [106/800], Train Loss: 0.003510, Val Loss: 0.003601
Epoch [107/800], Train Loss: 0.003406, Val Loss: 0.003303
Epoch [108/800], Train Loss: 0.003520, Val Loss: 0.004002
Epoch [109/800], Train Loss: 0.003482, Val Loss: 0.003307
Epoch [110/800], Train Loss: 0.003434, Val Loss: 0.005767
Epoch [111/800], Train Loss: 0.003159, Val Loss: 0.003223
Epoch [112/800], Train Loss: 0.003555, Val Loss: 0.003511
Epoch [113/800], Train Loss: 0.003370, Val Loss: 0.004333
Epoch [114/800], Train Loss: 0.003328, Val Loss: 0.003063
Epoch [115/800], Train Loss: 0.003075, Val Loss: 0.003616
Epoch [116/800], Train Loss: 0.003219, Val Loss: 0.002930
Epoch [117/800], Train Loss: 0.003179, Val Loss: 0.004038
Epoch [118/800], Train Loss: 0.003025, Val Loss: 0.002908
Epoch [119/800], Train Loss: 0.003012, Val Loss: 0.003954
Epoch [120/800], Train Loss: 0.003204, Val Loss: 0.002782
Epoch [121/800], Train Loss: 0.003173, Val Loss: 0.003302
Epoch [122/800], Train Loss: 0.003093, Val Loss: 0.003209
Epoch [123/800], Train Loss: 0.002916, Val Loss: 0.003073
Epoch [124/800], Train Loss: 0.002933, Val Loss: 0.002801
Epoch [125/800], Train Loss: 0.003005, Val Loss: 0.003763
Epoch [126/800], Train Loss: 0.002922, Val Loss: 0.003034
Epoch [127/800], Train Loss: 0.002960, Val Loss: 0.003843
Epoch [128/800], Train Loss: 0.002776, Val Loss: 0.002697
