Epoch [1/800], Train Loss: 0.157092, Val Loss: 0.132929
Epoch [2/800], Train Loss: 0.155692, Val Loss: 0.135179
Epoch [3/800], Train Loss: 0.151637, Val Loss: 0.139367
Epoch [4/800], Train Loss: 0.145326, Val Loss: 0.135851
Epoch [5/800], Train Loss: 0.136544, Val Loss: 0.111908
Epoch [6/800], Train Loss: 0.126789, Val Loss: 0.101052
Epoch [7/800], Train Loss: 0.118067, Val Loss: 0.098787
Epoch [8/800], Train Loss: 0.109299, Val Loss: 0.097314
Epoch [9/800], Train Loss: 0.102624, Val Loss: 0.094031
Epoch [10/800], Train Loss: 0.095981, Val Loss: 0.086897
Epoch [11/800], Train Loss: 0.090898, Val Loss: 0.078551
Epoch [12/800], Train Loss: 0.085758, Val Loss: 0.075415
Epoch [13/800], Train Loss: 0.081124, Val Loss: 0.071367
Epoch [14/800], Train Loss: 0.076391, Val Loss: 0.067837
Epoch [15/800], Train Loss: 0.072353, Val Loss: 0.062508
Epoch [16/800], Train Loss: 0.068189, Val Loss: 0.058693
Epoch [17/800], Train Loss: 0.064378, Val Loss: 0.055676
Epoch [18/800], Train Loss: 0.061432, Val Loss: 0.053947
Epoch [19/800], Train Loss: 0.058545, Val Loss: 0.052294
Epoch [20/800], Train Loss: 0.056477, Val Loss: 0.050451
Epoch [21/800], Train Loss: 0.053770, Val Loss: 0.049241
Epoch [22/800], Train Loss: 0.050916, Val Loss: 0.048169
Epoch [23/800], Train Loss: 0.048193, Val Loss: 0.044620
Epoch [24/800], Train Loss: 0.045495, Val Loss: 0.041377
Epoch [25/800], Train Loss: 0.042385, Val Loss: 0.040433
Epoch [26/800], Train Loss: 0.039223, Val Loss: 0.037464
Epoch [27/800], Train Loss: 0.036560, Val Loss: 0.034518
Epoch [28/800], Train Loss: 0.034431, Val Loss: 0.032391
Epoch [29/800], Train Loss: 0.032298, Val Loss: 0.030545
Epoch [30/800], Train Loss: 0.030654, Val Loss: 0.028601
Epoch [31/800], Train Loss: 0.028875, Val Loss: 0.027658
Epoch [32/800], Train Loss: 0.027435, Val Loss: 0.025742
Epoch [33/800], Train Loss: 0.025582, Val Loss: 0.025162
Epoch [34/800], Train Loss: 0.024045, Val Loss: 0.023992
Epoch [35/800], Train Loss: 0.022281, Val Loss: 0.021396
Epoch [36/800], Train Loss: 0.021071, Val Loss: 0.020129
Epoch [37/800], Train Loss: 0.019847, Val Loss: 0.018595
Epoch [38/800], Train Loss: 0.018811, Val Loss: 0.019021
Epoch [39/800], Train Loss: 0.017740, Val Loss: 0.016205
Epoch [40/800], Train Loss: 0.016744, Val Loss: 0.017854
Epoch [41/800], Train Loss: 0.015683, Val Loss: 0.015390
Epoch [42/800], Train Loss: 0.014935, Val Loss: 0.013830
Epoch [43/800], Train Loss: 0.014332, Val Loss: 0.013656
Epoch [44/800], Train Loss: 0.013330, Val Loss: 0.012407
Epoch [45/800], Train Loss: 0.013029, Val Loss: 0.012454
Epoch [46/800], Train Loss: 0.012312, Val Loss: 0.011707
Epoch [47/800], Train Loss: 0.011672, Val Loss: 0.011834
Epoch [48/800], Train Loss: 0.011483, Val Loss: 0.011277
Epoch [49/800], Train Loss: 0.010890, Val Loss: 0.010655
Epoch [50/800], Train Loss: 0.010380, Val Loss: 0.011382
Epoch [51/800], Train Loss: 0.010119, Val Loss: 0.010293
Epoch [52/800], Train Loss: 0.009730, Val Loss: 0.010298
Epoch [53/800], Train Loss: 0.009989, Val Loss: 0.010741
Epoch [54/800], Train Loss: 0.009709, Val Loss: 0.009522
Epoch [55/800], Train Loss: 0.008876, Val Loss: 0.010017
Epoch [56/800], Train Loss: 0.008928, Val Loss: 0.009967
Epoch [57/800], Train Loss: 0.008392, Val Loss: 0.008462
Epoch [58/800], Train Loss: 0.008021, Val Loss: 0.007587
Epoch [59/800], Train Loss: 0.008178, Val Loss: 0.008740
Epoch [60/800], Train Loss: 0.007730, Val Loss: 0.008914
Epoch [61/800], Train Loss: 0.007655, Val Loss: 0.009379
Epoch [62/800], Train Loss: 0.007311, Val Loss: 0.007602
Epoch [63/800], Train Loss: 0.007332, Val Loss: 0.007788
Epoch [64/800], Train Loss: 0.006828, Val Loss: 0.006657
Epoch [65/800], Train Loss: 0.006982, Val Loss: 0.007236
Epoch [66/800], Train Loss: 0.006573, Val Loss: 0.006629
