Epoch [1/300], Train Loss: 0.088762, Val Loss: 0.068758, Epoch Time: 274.75s
Epoch [2/300], Train Loss: 0.088074, Val Loss: 0.069834, Epoch Time: 278.95s
Epoch [3/300], Train Loss: 0.085694, Val Loss: 0.071600, Epoch Time: 287.91s
Epoch [4/300], Train Loss: 0.080231, Val Loss: 0.067776, Epoch Time: 275.44s
Epoch [5/300], Train Loss: 0.071825, Val Loss: 0.059891, Epoch Time: 410.87s
Epoch [6/300], Train Loss: 0.064926, Val Loss: 0.058781, Epoch Time: 339.63s
Epoch [7/300], Train Loss: 0.060222, Val Loss: 0.056587, Epoch Time: 368.65s
Epoch [8/300], Train Loss: 0.056543, Val Loss: 0.049048, Epoch Time: 349.99s
Epoch [9/300], Train Loss: 0.052880, Val Loss: 0.042550, Epoch Time: 364.82s
Epoch [10/300], Train Loss: 0.049350, Val Loss: 0.040000, Epoch Time: 354.03s
Epoch [11/300], Train Loss: 0.045853, Val Loss: 0.038694, Epoch Time: 346.89s
Epoch [12/300], Train Loss: 0.043196, Val Loss: 0.037463, Epoch Time: 356.79s
Epoch [13/300], Train Loss: 0.040388, Val Loss: 0.036933, Epoch Time: 357.51s
Epoch [14/300], Train Loss: 0.037725, Val Loss: 0.037175, Epoch Time: 359.70s
Epoch [15/300], Train Loss: 0.034716, Val Loss: 0.034014, Epoch Time: 347.39s
Epoch [16/300], Train Loss: 0.031450, Val Loss: 0.031427, Epoch Time: 341.67s
Epoch [17/300], Train Loss: 0.028519, Val Loss: 0.030126, Epoch Time: 324.90s
Epoch [18/300], Train Loss: 0.026293, Val Loss: 0.028976, Epoch Time: 330.18s
Epoch [19/300], Train Loss: 0.024409, Val Loss: 0.025922, Epoch Time: 338.60s
Epoch [20/300], Train Loss: 0.022467, Val Loss: 0.026577, Epoch Time: 323.00s
Epoch [21/300], Train Loss: 0.020870, Val Loss: 0.023288, Epoch Time: 327.38s
Epoch [22/300], Train Loss: 0.019260, Val Loss: 0.024276, Epoch Time: 468.53s
Epoch [23/300], Train Loss: 0.017759, Val Loss: 0.021281, Epoch Time: 483.37s
